0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
-13,-6,-12,-6,-20,-4,-20,-21,-8,-6,-6,-6,-9,-7,-4,-6,-7,-12,-6,-5,-8,-5,-4,-8,-6,-13,-5,-23,-6,-6,-8,-11,-7,-6,-6,-5,-5,-8,-5,-6,-7,-7,-14,-7,-20,-22,-5,-22,-19,-7,-8,-8,-5,-4,-15
113,102,128,126,137,86,146,179,118,140,126,126,176,136,207,148,185,106,122,129,183,141,145,83,210,121,190,145,283,162,243,318,121,192,237,226,124,212,282,225,192,121,114,133,132,153,174,176,211,211,300,94,111,125,116
81,76,55,33,45,110,34,55,91,62,47,96,59,74,21,73,60,30,69,38,46,29,33,142,49,35,26,50,16,43,31,11,58,30,29,22,107,40,19,37,44,111,36,105,76,42,53,33,27,55,18,66,61,31,32
59,96,50,199,107,311,85,54,116,125,214,178,79,147,0,165,55,227,58,100,123,217,102,351,85,122,193,91,388,97,206,434,0,159,99,261,67,206,206,154,102,336,128,58,97,120,368,101,140,70,433,120,93,97,309
134,106,135,110,130,91,141,229,97,117,119,87,116,103,118,100,156,112,97,152,117,117,126,82,115,108,156,128,139,107,114,166,89,148,167,120,102,119,143,113,105,82,128,120,127,110,101,127,145,119,137,89,124,245,148
199,176,71,109,83,210,120,185,69,188,45,203,144,135,245,70,112,169,116,146,145,108,113,152,53,216,153,106,118,150,64,96,151,188,166,62,178,69,116,108,86,212,73,133,208,120,64,160,112,75,66,77,189,251,49
26,28,10,-21,-6,44,8,17,-41,-42,37,55,47,-21,93,2,-20,-34,-12,-41,2,-22,-34,-8,3,-32,-32,-1,51,-7,16,70,7,-25,-34,-12,-8,32,53,66,29,89,-33,-22,-26,-1,11,-4,22,21,19,-32,-38,-36,-8
17,23,-22,-2,-8,18,26,11,12,3,22,4,-12,4,16,22,-7,5,-25,-1,-12,-10,-7,21,-35,11,-24,7,-23,5,-15,10,26,0,-16,-21,4,18,-19,26,8,23,-12,-17,-8,3,-2,0,-20,-28,26,-14,-6,-9,-33
69,31,26,-23,4,42,9,29,-43,-44,32,59,45,-22,91,2,-21,-34,-11,-48,2,-23,-33,-10,10,-27,-36,12,52,-8,18,77,6,-26,-37,-12,-8,31,53,67,32,103,-23,-27,-25,1,13,-3,28,20,19,-33,-42,-45,-5
42,-18,-9,-43,-13,52,-26,-12,-42,-60,14,65,16,-53,88,29,-15,-84,-58,-47,-12,-84,-23,-65,0,-70,-58,-8,72,-66,-24,35,-33,-88,-73,1,-43,-5,56,54,38,81,-43,-65,-91,-58,-18,-64,-24,14,8,-45,-94,-103,-15
27,18,27,19,25,12,28,47,14,21,22,10,20,16,20,15,31,20,14,32,20,21,24,8,19,18,31,24,24,17,18,29,11,29,32,20,16,20,25,18,16,8,25,22,24,18,15,23,27,20,23,11,24,54,31
-12,-4,-30,-7,-7,16,-21,-17,-1,1,8,5,-21,3,30,4,-29,-9,-29,-7,-9,-6,-19,16,-27,-17,2,-12,2,-20,-6,0,48,-2,-22,-5,-14,2,-13,-11,-22,14,-8,-16,-1,-13,14,-22,-12,-34,7,-8,-4,7,11
20,24,35,23,53,10,42,33,22,10,34,25,104,11,37,15,36,29,38,39,40,44,26,31,88,53,26,87,83,37,96,69,57,33,67,77,55,17,53,90,60,24,49,18,18,64,32,67,73,64,44,33,58,58,103
-80,-69,-94,-90,-109,-56,-116,-135,-89,-102,-89,-98,-141,-104,-165,-115,-140,-77,-91,-84,-146,-103,-102,-59,-171,-94,-143,-121,-237,-127,-206,-272,-93,-146,-187,-185,-91,-174,-234,-187,-157,-96,-83,-97,-105,-133,-139,-150,-178,-172,-256,-67,-72,-64,-81
-3,-20,-15,-40,-28,23,-36,-16,-54,-64,20,36,17,-52,68,11,-31,-88,-59,-57,-12,-82,-38,-67,-9,-79,-55,-20,60,-65,-25,31,-36,-88,-74,-10,-58,-5,50,54,20,68,-53,-65,-95,-62,-28,-67,-28,2,8,-56,-92,-93,-35
10,8,7,1,1,9,-10,0,10,2,10,10,-10,6,10,2,-9,10,3,1,-10,-9,0,9,-10,2,-3,2,7,9,9,9,3,3,-8,9,8,4,-8,-1,-10,10,-3,3,-1,9,6,4,7,-6,-5,0,-2,4,-7
67,41,63,22,41,112,20,42,22,63,30,58,10,36,85,51,28,50,36,41,22,22,76,36,54,42,50,28,30,45,22,58,32,40,30,50,81,22,71,54,32,57,58,40,54,32,76,22,28,45,14,14,64,45,32
-125,-126,-129,-157,-164,-128,-164,-169,-143,-159,-159,-156,-175,-161,-251,-172,-165,-148,-126,-146,-192,-170,-157,-129,-197,-150,-206,-168,-292,-169,-249,-324,-193,-203,-221,-240,-132,-226,-275,-227,-192,-160,-147,-134,-158,-180,-203,-191,-223,-191,-308,-125,-131,-141,-161
517,435,617,496,572,204,650,1032,389,593,449,109,393,460,287,282,695,613,428,787,455,620,588,316,426,539,792,534,375,511,437,568,313,805,833,443,462,441,448,297,276,34,640,612,713,510,389,622,629,414,474,328,724,1362,697
495,371,489,117,371,526,103,386,117,489,193,477,66,292,514,451,171,446,292,371,117,117,507,292,463,386,446,171,193,409,117,477,217,355,193,446,511,117,501,463,217,472,477,355,463,217,507,117,171,409,78,78,490,409,217
