T2m,T850,T700,T500,T300,TD2m,Td_850,dTd_850,Td_700,dTd_700,Td_500,dTd_500,Td_300,dTd_300,Td2m,Wpow_10m,WpoW_850,WpoW_700,Wpow_500,Wpow_300,Tsm8,Vaiting,Tps8,Tps5,Tps850-Tps500,Tps0-Tps850,Total,sweat,Td0,Tsm7,Tsm0,dTd8,dTd0,dTd5,dTd7,TPS8-TPS7,TPS7-TPS5,Jefferson,TSM7+TSM5,Tps7,Tps0,dTd3,dTd300+dTd500,Tps850-TPS300,Tps700-TPS300,GUST,LF,CAPE0,CAPE250,CAPE90,VVEL925,VVEL850,VVEL700,VVEL500,VVEL300,dV3-5,dV5-8,dDIR3-5,dDIR5-8,U300,V300,U850,V850,U700,V700,U500,V500,U10,V10,maxVevel,minVevel,Si,HPBL,CEILING,AbsHumid,CLCT,CLCL,PMSL,Hbottom-low,Hbase-top,gradT0,gradT0*2,gradTd0*2,gradTd0,Lapl_PRMSL125,Lapl_PRMSL1.0,ClH200,ClH100,TotPrec,Nighttime,TunderYN,Longitude,Latitude,Eventtime,Station
6.05,-7.55,-16.65,-35.35,-48.35,-4.75,4.69,1.36,-11.2,3.65,-25.05,8.4,-58.8,23.45,-4.75,8.49,13.45,17.46,21.54,23.71,-8.23,210.45,11.07,17.21,-6.14,-209.7,154.15,3438.47,-4.75,-18.48,0.65,1.36,10.8,8.4,3.65,-2.83,-3.31,40.67,-58.03,13.9,-198.63,23.45,31.85,-32.88,-30.05,16.0,5.9,4.6,40.9,12.4,0.22,0.28,-0.19,0.13,0.07,3.16,10.05,0.42,0.97,-20.0,-21.0,9.0,-10.0,7.0,-16.0,8.0,-21.0,6.0,-6.0,0.28,-0.19,6.0,1668.0,1060.0,0.0,100.0,100.0,1019.0,1380.0,2050.0,0.7,0.57,0.14,0.37,13.0,19.0,502.0,382.0,0.0,1,64,84.55,56.48,2021-05-01 05:25:00,0
9.25,2.15,-9.95,-23.65,-47.55,2.15,3.01,6.24,-8.26,10.41,-39.23,29.28,-29.56,5.91,2.15,2.24,2.24,4.24,20.0,49.25,-0.97,146.75,23.82,31.15,-7.33,-221.4,114.45,2122.9,2.15,-15.15,5.7,6.24,7.1,29.28,10.41,2.54,-9.87,37.77,-53.45,21.29,-197.57,5.91,35.19,-21.55,-24.08,5.0,6.3,0.0,3.1,67.3,0.18,-0.22,0.4,0.28,-0.05,29.43,21.1,-0.44,-0.32,0.0,-5.0,-1.0,2.0,3.0,-3.0,20.0,-5.0,-2.0,1.0,0.4,-0.22,5.0,1853.0,2270.0,0.01,100.0,100.0,1010.0,1910.0,4300.0,0.18,0.43,0.34,0.4,11.0,16.0,644.0,586.0,0.0,1,64,81.2,55.05,2021-05-01 08:00:00,0
12.45,-2.85,-8.45,-23.35,-51.65,-5.45,-1.84,14.29,-33.86,31.01,-17.48,9.03,-36.71,13.36,-5.45,3.16,3.16,9.06,16.16,18.38,-9.99,72.95,13.05,32.91,-19.86,-210.25,80.85,1178.83,-5.45,-23.96,3.5,14.29,17.9,9.03,31.01,-7.38,-12.48,12.03,-51.82,20.43,-197.2,13.36,22.39,-26.29,-18.91,5.0,13.5,0.0,33.7,11.3,0.15,0.16,0.22,0.05,0.12,2.24,13.0,-0.55,0.22,-15.0,-17.0,1.0,-3.0,1.0,-9.0,6.0,-17.0,3.0,-1.0,0.22,0.05,1.0,1659.0,22700.0,0.0,0.0,0.0,1032.0,0.0,0.0,0.59,1.51,0.32,0.53,18.0,20.0,636.0,289.0,0.0,1,64,85.29,52.24,2021-05-02 07:34:00,0
17.75,4.95,-5.85,-23.05,-51.25,-2.35,4.67,13.08,-3.09,8.04,-12.56,6.71,-35.76,12.71,-2.35,8.6,16.76,14.32,14.32,9.85,-1.59,131.85,24.45,33.72,-9.27,-220.02,93.05,1385.64,-2.35,-9.87,7.7,13.08,20.1,6.71,8.04,-3.53,-5.74,37.31,-36.27,27.98,-195.57,12.71,19.42,-15.47,-11.94,15.0,7.1,0.0,17.8,3.6,-0.11,-0.06,0.03,-0.08,-0.07,4.47,11.4,-0.73,-0.96,-6.0,-4.0,16.0,5.0,14.0,-3.0,13.0,-4.0,7.0,5.0,0.03,-0.11,6.0,1952.0,22700.0,0.0,13.0,0.0,1022.0,0.0,0.0,0.75,1.26,0.56,0.56,13.0,23.0,454.0,436.0,0.0,1,64,96.31,55.08,2021-05-02 07:51:00,0
13.45,-1.95,-9.15,-18.45,-47.55,-6.75,3.79,9.66,-16.81,14.86,-17.18,8.03,-26.95,8.5,-6.75,5.39,10.82,18.38,36.36,36.62,-6.78,108.65,15.75,40.03,-24.28,-212.49,86.95,1483.83,-6.75,-16.58,3.35,9.66,20.2,8.03,14.86,-5.59,-18.69,20.6,-39.04,21.34,-196.74,8.5,16.53,-29.53,-23.94,10.0,17.7,0.0,60.8,18.9,0.01,-0.02,0.11,0.49,0.18,2.24,26.93,0.34,-0.32,-31.0,-30.0,9.0,-6.0,13.0,-13.0,19.0,-30.0,5.0,-2.0,0.49,-0.02,9.0,2608.0,22700.0,0.0,16.0,0.0,1023.0,2220.0,2730.0,0.37,0.49,0.16,0.19,17.0,27.0,343.0,200.0,0.0,1,64,80.5,56.24,2021-05-04 06:45:00,0
-0.25,-6.25,-17.75,-23.65,-50.35,-0.75,-8.9,8.65,-14.96,8.71,-26.77,9.02,-28.69,5.04,-0.75,1.0,11.66,15.26,39.05,58.82,-10.58,137.15,10.13,32.5,-22.37,-210.46,93.05,1701.24,-0.75,-22.1,-0.5,8.65,0.5,9.02,8.71,-1.27,-21.1,22.51,-50.26,11.41,-200.33,5.04,14.06,-31.22,-29.95,3.0,20.3,0.0,0.0,0.0,0.11,0.06,0.07,-0.05,-0.05,20.12,28.3,-0.98,0.37,-30.0,-48.0,10.0,-6.0,13.0,-8.0,25.0,-48.0,1.0,0.0,0.11,-0.05,4.0,114.0,6500.0,0.0,100.0,1.0,1020.0,0.0,0.0,0.43,0.95,0.08,0.29,23.0,49.0,511.0,141.0,0.0,0,64,66.19,59.54,2021-05-04 22:42:00,0
22.55,8.05,-2.35,-18.35,-46.85,6.05,13.59,8.96,5.85,2.2,-6.52,4.17,-23.46,5.11,6.05,7.21,17.09,22.0,26.02,39.56,3.57,171.75,32.22,41.31,-9.09,-226.45,101.75,1824.89,6.05,-3.45,14.3,8.96,16.5,4.17,2.2,-5.18,-3.91,44.19,-23.89,37.4,-194.23,5.11,9.28,-14.2,-9.02,13.0,4.1,0.0,21.4,5.1,-0.26,-0.32,-0.18,0.25,0.06,18.6,11.18,0.8,-0.48,-26.0,-37.0,6.0,-16.0,0.0,-22.0,1.0,-37.0,6.0,-4.0,0.25,-0.32,5.0,2272.0,4830.0,0.01,100.0,0.0,1020.0,3260.0,5350.0,0.52,0.89,0.1,0.69,10.0,16.0,452.0,84.0,0.0,1,64,86.47,56.22,2021-05-13 06:27:00,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.05,10.35,-2.95,-18.75,-47.75,1.65,0.74,8.31,8.78,1.57,-9.4,6.45,-23.67,4.92,1.65,6.4,20.62,27.66,30.61,32.8,6.19,178.05,37.16,40.0,-2.84,-234.75,103.85,1934.22,1.65,-3.73,5.35,8.31,7.4,6.45,1.57,0.4,-3.24,49.3,-25.71,36.76,-197.59,4.92,11.37,-7.96,-8.36,11.0,15.4,0.0,4.8,2.1,-0.14,0.13,-0.19,-0.38,-0.19,2.24,11.4,0.72,-0.03,-24.0,-26.0,16.0,-13.0,21.0,-18.0,19.0,-26.0,5.0,4.0,0.13,-0.38,19.0,475.0,8380.0,0.0,100.0,0.0,1008.0,0.0,0.0,0.03,0.2,0.09,0.1,25.0,40.0,592.0,296.0,0.0,1,64,75.2,65.24,2021-05-14 04:46:00,0
2.25,2.45,-5.75,-23.25,-51.65,-7.05,-5.85,8.1,-7.17,9.62,-33.53,27.78,-32.79,9.54,-7.05,2.24,1.41,6.08,7.62,11.7,-1.6,135.45,23.18,31.68,-8.51,-222.72,103.95,1684.58,-7.05,-10.56,-2.4,8.1,9.3,27.78,9.62,-4.32,-4.19,36.7,-47.7,27.5,-199.54,9.54,37.32,-16.21,-11.89,7.0,2.8,0.0,0.1,5.6,-0.09,-0.09,-0.27,0.26,0.0,8.54,8.25,-0.3,-0.96,-7.0,-4.0,1.0,1.0,6.0,1.0,3.0,-4.0,2.0,1.0,0.26,-0.27,3.0,1828.0,3880.0,0.0,100.0,7.0,1014.0,3540.0,4410.0,1.61,1.46,0.51,0.71,15.0,30.0,551.0,180.0,0.0,1,64,85.35,52.03,2021-05-14 09:51:00,0
1.65,-6.95,-12.75,-29.85,-43.55,-1.85,1.51,0.14,-18.25,11.3,-33.28,20.53,-64.21,34.36,-1.85,4.47,10.82,7.62,10.82,14.21,-7.02,174.65,12.6,23.66,-11.05,-212.22,151.75,3221.15,-1.85,-18.4,-0.1,0.14,3.5,20.53,11.3,-4.75,-6.3,33.37,-58.52,17.36,-199.61,34.36,54.89,-38.1,-33.35,12.0,8.9,0.0,3.6,11.1,0.01,0.26,0.2,-0.01,-0.04,20.22,15.3,0.2,-0.89,9.0,-11.0,9.0,-6.0,7.0,3.0,6.0,-11.0,4.0,-2.0,0.26,-0.04,18.0,1140.0,1010.0,0.0,100.0,100.0,1010.0,0.0,0.0,0.3,0.28,0.12,0.42,12.0,43.0,789.0,612.0,0.3000000000000007,1,64,68.42,60.3,2021-05-14 11:07:00,0
27.25,13.65,0.55,-18.45,-47.35,8.85,13.2,14.05,8.07,5.58,-21.02,21.57,-23.38,4.93,8.85,4.12,14.14,19.92,18.25,17.72,6.63,142.55,38.42,38.04,0.38,-231.35,92.55,1374.16,8.85,-2.24,18.05,14.05,18.4,21.57,5.58,-1.77,2.15,47.71,-31.47,40.19,-192.92,4.93,26.5,-7.28,-5.51,9.0,-1.9,138.5,294.9,280.5,-0.05,0.0,-0.07,0.0,-0.14,2.24,6.4,0.6,-0.95,-3.0,-5.0,14.0,2.0,19.0,-6.0,18.0,-5.0,4.0,1.0,0.0,-0.14,6.0,2261.0,7730.0,0.01,95.0,0.0,1018.0,0.0,0.0,0.15,0.2,0.25,0.27,12.0,41.0,789.0,612.0,0.0,1,64,68.33,60.35,2021-05-14 11:20:00,0
10.75,3.85,-9.45,-25.55,-53.25,-2.95,-3.35,14.1,-1.12,4.97,-21.72,12.27,-33.74,8.19,-2.95,2.0,7.21,7.28,12.04,20.4,-3.2,145.85,22.34,29.58,-7.24,-219.48,91.95,1305.07,-2.95,-11.93,3.9,14.1,13.7,12.27,4.97,-1.45,-5.78,38.65,-43.62,23.79,-197.14,8.19,20.45,-14.79,-13.34,7.0,6.5,1455.7,442.6,0.0,-0.05,-0.3,-0.01,0.1,0.06,8.54,6.71,-0.26,-0.61,1.0,4.0,6.0,4.0,7.0,2.0,12.0,4.0,0.0,2.0,0.1,-0.3,4.0,174.0,22700.0,0.0,6.0,0.0,1008.0,0.0,0.0,0.31,0.41,0.25,0.38,12.0,37.0,803.0,386.0,0.0,1,64,74.52,62.45,2021-05-14 11:47:00,0
2.05,1.25,-3.95,-19.25,-47.95,0.45,1.33,0.72,0.39,0.86,-6.4,2.45,-24.49,5.24,0.45,5.39,19.92,29.83,32.45,36.36,0.89,213.45,26.38,40.51,-14.13,-225.9,134.75,3135.15,0.45,-4.38,1.25,0.72,1.6,2.45,0.86,-9.06,-5.07,41.26,-24.86,35.44,-199.52,5.24,7.7,-18.44,-9.38,11.0,21.0,14.1,6.6,0.3,0.03,-0.73,-0.42,0.21,-0.05,4.12,21.02,0.82,0.88,-27.0,-31.0,19.0,-6.0,19.0,-23.0,18.0,-31.0,2.0,5.0,0.21,-0.73,4.0,612.0,370.0,0.0,100.0,100.0,1011.0,330.0,590.0,0.24,0.31,0.16,0.24,11.0,33.0,699.0,575.0,0.0,1,64,61.3,62.29,2021-05-14 12:24:00,0
9.45,3.05,-10.95,-24.55,-53.25,3.05,-4.15,13.6,0.94,2.11,-22.16,11.21,-31.35,6.8,3.05,2.0,4.47,3.61,5.39,9.9,-3.75,162.55,21.38,31.01,-9.62,-218.92,90.15,1243.62,3.05,-12.01,6.25,13.6,6.4,11.21,2.11,-1.34,-8.28,38.15,-42.16,22.72,-197.54,6.8,18.01,-15.77,-14.43,4.0,6.1,0.0,471.1,0.0,-0.05,-0.2,0.19,-0.19,0.11,5.39,3.61,0.93,-0.71,-5.0,-7.0,4.0,-2.0,3.0,-2.0,2.0,-7.0,2.0,0.0,0.19,-0.2,6.0,464.0,22700.0,0.01,45.0,0.0,1011.0,0.0,0.0,0.14,0.17,0.3,0.48,24.0,23.0,869.0,869.0,0.0,1,64,70.36,60.09,2021-05-14 13:00:00,0
22.45,13.15,-0.75,-18.15,-47.55,10.05,9.24,13.21,5.07,8.08,-15.0,14.25,-25.36,7.21,10.05,6.08,23.43,23.35,26.17,23.85,6.55,133.05,38.19,39.24,-1.05,-232.21,92.45,1611.49,10.05,-4.79,16.25,13.21,12.4,14.25,8.08,2.03,-3.08,46.03,-30.07,36.16,-194.02,7.21,21.46,-7.14,-9.17,16.0,0.1,0.0,2.2,16.9,-0.45,-0.28,0.18,-0.02,-0.04,5.1,4.0,-0.84,0.44,-19.0,-20.0,18.0,-15.0,16.0,-17.0,18.0,-20.0,6.0,1.0,0.18,-0.45,1.0,1673.0,22700.0,0.01,5.0,0.0,1010.0,0.0,0.0,0.64,0.62,0.66,1.0,7.0,43.0,869.0,323.0,0.0,1,64,69.1,61.01,2021-05-14 13:02:00,0
29.95,14.45,0.65,-17.85,-47.45,3.85,14.07,15.88,4.44,10.01,-6.43,7.08,-24.28,6.43,3.85,5.83,12.21,15.56,17.69,17.69,6.51,120.65,38.44,41.17,-2.73,-230.65,88.15,1315.14,3.85,-4.36,16.9,15.88,26.1,7.08,10.01,1.06,-3.79,44.7,-25.75,37.38,-192.21,6.43,13.51,-7.06,-8.12,12.0,0.7,0.0,167.6,23.4,0.13,0.12,0.08,-0.11,0.02,0.0,6.32,0.0,-0.26,-13.0,-13.0,10.0,-7.0,11.0,-11.0,12.0,-13.0,5.0,-3.0,0.13,-0.11,2.0,3392.0,22700.0,0.01,16.0,0.0,1018.0,0.0,0.0,0.15,0.35,0.14,0.47,9.0,42.0,869.0,203.0,0.0,1,64,69.1,59.37,2021-05-14 13:05:00,0
6.35,2.35,-10.25,-25.05,-52.95,1.35,-6.26,12.61,-1.26,3.61,-19.38,9.13,-32.42,7.37,1.35,1.0,5.39,4.12,7.07,10.0,-3.95,154.65,20.78,30.59,-9.81,-219.19,92.45,1363.52,1.35,-12.06,3.85,12.61,5.0,9.13,3.61,-2.36,-7.45,37.56,-41.67,23.14,-198.41,7.37,16.5,-16.79,-14.43,4.0,4.7,0.0,411.1,0.0,0.08,0.35,0.17,-0.1,0.04,5.1,6.4,0.45,-0.37,-7.0,-8.0,5.0,-2.0,4.0,1.0,1.0,-8.0,1.0,0.0,0.35,-0.1,7.0,32.0,22700.0,0.01,40.0,0.0,1013.0,2020.0,3990.0,0.22,0.15,0.18,0.15,15.0,42.0,788.0,208.0,0.0,1,64,68.39,59.34,2021-05-14 13:15:00,0
