0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
19,19,16,18,9,18,15,10,17,19,14,10,20,21,16,12,16,13,7,18,20,13,8,5,10,9,9,11
24,25,20,22,15,22,24,15,23,23,18,15,25,25,19,19,20,18,13,23,27,18,15,12,15,14,16,15
24,26,22,23,16,22,24,15,23,23,18,16,25,25,22,20,20,21,13,23,27,18,16,13,15,15,17,15
21,23,17,20,12,18,20,13,20,19,16,11,21,22,17,16,17,15,10,20,22,15,11,10,12,11,13,11
11,15,11,12,6,12,11,8,12,12,9,8,12,13,12,9,12,8,5,12,15,9,5,4,7,6,7,6
21,23,19,23,17,19,21,12,19,19,17,13,19,20,17,20,17,12,11,22,23,24,18,11,17,9,11,9
27,25,23,26,20,21,24,15,27,18,19,20,23,22,16,22,18,16,13,28,28,24,26,15,17,10,17,14
28,28,27,27,17,18,24,19,34,13,21,17,22,27,18,20,18,21,16,28,31,21,31,15,17,18,23,19
32,40,43,37,19,25,25,24,36,16,33,20,30,39,24,31,24,23,27,30,38,22,42,38,16,24,33,21
24,24,27,24,20,26,25,27,26,34,28,25,23,25,34,24,27,23,24,24,27,26,27,29,31,24,26,26
25,22,26,24,27,24,25,26,27,30,25,25,26,27,2,25,26,24,27,23,28,28,28,27,32,26,25,27
-8,10,-11,6,40,-20,33,-13,-3,-44,20,-10,-28,-23,-33,5,-36,-3,6,42,41,30,32,0,19,12,42,-8
-64,-38,-64,-24,9,-77,-1,-102,-60,-60,-27,-61,-92,-100,-93,-37,-113,-39,-64,65,-28,13,16,-69,-32,38,3,-57
4,17,33,49,31,12,49,49,19,77,18,8,56,47,29,64,20,25,47,54,75,63,28,40,47,60,62,40
50,68,53,45,58,39,118,48,91,72,67,71,95,80,63,72,54,95,72,79,170,53,88,77,93,150,121,107
23,23,25,21,19,16,17,17,22,20,15,12,13,19,18,22,35,12,10,19,19,22,14,11,14,15,12,6
8,8,6,6,8,7,4,1,6,6,10,3,7,9,12,5,10,2,1,5,9,5,5,2,3,6,5,5
489,492,488,470,495,480,505,485,492,477,500,484,482,479,472,495,459,505,474,513,515,481,500,484,503,505,502,504
19,19,20,15,13,13,14,13,19,15,12,10,9,14,13,17,25,10,7,16,12,15,10,9,13,8,9,6
21,20,21,15,14,14,16,14,22,14,12,11,11,16,15,20,23,10,8,17,16,15,12,10,13,9,12,8
22,24,20,18,14,18,22,15,25,13,18,13,15,19,17,22,23,14,9,19,22,16,17,14,13,15,15,12
26,34,26,29,17,22,26,23,31,21,30,17,24,30,22,29,31,19,16,22,29,16,25,26,14,19,27,17
10,0,3,7,9,28,4,-5,-8,-5,1,-15,2,2,0,-5,-6,5,1,-1,29,-9,0,-4,12,14,1,21
19,4,-37,-13,-15,1,-28,-1,-2,-6,19,-14,-11,23,7,-18,-14,-1,-21,9,93,-15,2,7,37,-27,14,32
-1,0,41,-47,0,-9,-10,11,-7,7,37,-18,1,15,17,-27,-14,36,-27,-4,41,1,-7,26,-12,-9,33,12
17,10,10,19,13,19,25,3,13,13,24,23,19,15,42,6,2,17,2,20,35,1,18,-3,7,15,21,1
57,53,48,54,47,56,51,43,48,46,48,53,54,49,62,49,51,54,45,50,53,41,53,50,52,44,53,55
325,266,190,91,260,161,258,50,196,-13,156,158,267,189,258,180,-40,205,82,272,377,120,358,30,266,163,280,344
46,48,44,40,47,44,48,41,46,39,47,45,46,42,46,47,34,50,39,49,51,37,52,36,51,41,49,54
9999,9999,9999,57,104,40,36,80,75,57,103,69,31,66,12,56,85,-7,91,48,-25,176,88,91,60,89,77,7
0,17,13,1372,0,1222,0,149,0,134,0,0,185,233,1852,0,525,0,0,0,0,0,0,0,0,0,0,0
9999,9999,9999,14,9,8,3,11,11,14,11,9,9,10,8,6,13,6,12,7,3,17,8,13,3,7,10,7
370,192,254,97,254,97,290,290,328,191,20,139,221,290,117,369,80,413,290,191,369,221,328,0,413,0,164,290
645,664,642,564,505,677,789,199,369,557,650,653,592,387,548,590,294,883,481,970,978,123,836,527,801,147,886,940
