0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
21,23,6,13,18,13,19,13,19,16,16,15,15,22,20,17,14,10,20,21,15,21,20,15,18,15,12,17,24,17,14,9,10,13,17,14,14,17,14,17,16,14,15,15,14,10,22,15,26,16,10,11,15,15,20,18,17,17
24,25,9,16,22,15,20,15,20,17,17,17,16,22,22,21,19,15,24,23,19,23,21,19,19,16,16,18,25,19,19,11,13,16,20,16,16,18,17,20,18,15,18,19,15,13,23,16,27,18,15,13,17,16,23,20,19,18
24,26,10,16,22,15,20,15,22,18,17,17,16,23,22,21,21,16,24,23,20,23,21,20,19,16,17,18,25,21,20,14,13,16,20,20,18,18,17,20,18,16,18,21,17,13,23,17,29,18,16,14,17,17,23,21,19,18
21,23,6,12,18,13,17,13,17,16,14,13,12,20,18,16,13,11,20,20,16,18,18,15,17,13,12,16,22,17,16,9,10,13,17,14,14,16,13,17,16,13,15,15,14,11,20,14,22,15,10,10,15,14,19,17,16,16
10,13,3,7,10,6,7,6,8,8,8,7,5,10,8,7,7,4,10,10,6,8,8,7,9,7,6,8,9,8,6,4,5,6,8,7,6,7,5,8,8,7,7,6,7,4,10,6,10,6,4,5,7,7,9,8,7,8
21,23,4,14,16,11,13,11,18,18,22,12,10,22,18,20,14,15,20,19,15,17,19,18,17,13,21,16,19,16,19,8,19,16,17,16,13,22,9,16,16,12,12,12,15,12,22,12,22,10,17,10,16,14,17,16,16,15
28,25,13,14,19,16,17,13,23,21,22,13,10,26,21,25,16,19,24,27,16,17,21,20,23,13,23,21,22,16,22,11,19,16,19,20,14,26,9,19,17,14,18,16,22,13,29,14,28,11,26,15,21,15,18,19,18,20
28,28,24,20,22,25,23,17,27,19,21,12,13,26,18,27,19,22,24,34,18,12,26,20,24,18,26,21,26,18,20,12,20,20,18,21,24,25,8,21,31,13,21,21,34,15,29,16,32,16,31,15,26,13,19,29,19,25
31,40,28,28,30,23,31,18,44,25,23,21,17,37,24,29,28,30,25,37,19,17,22,25,29,41,31,33,38,24,31,16,26,37,24,26,31,23,8,27,36,32,33,23,43,28,30,19,38,30,43,37,30,11,26,51,27,38
24,24,34,28,23,23,20,31,27,30,26,31,33,23,26,26,27,27,25,26,23,34,27,25,26,28,23,28,25,34,24,32,28,25,27,25,25,26,36,26,24,25,26,23,22,24,24,26,27,30,27,29,31,7,29,27,26,29
24,22,33,28,23,24,21,30,26,31,27,30,34,24,24,28,27,27,25,27,24,30,27,27,25,26,25,25,27,2,25,33,28,26,26,24,25,28,1,26,25,26,23,24,23,26,23,25,28,28,28,27,31,4,28,26,26,28
-22,-22,-56,30,-24,1,-32,-38,-19,-16,-6,-42,-40,1,-25,48,-16,37,-7,-19,-23,-38,4,1,-32,-34,44,-1,-30,-23,-1,-27,45,6,-35,6,-22,8,-46,-22,-20,-30,-44,-29,-33,1,-13,-41,11,-49,3,-27,-32,-19,-36,-48,-42,-39
-75,-72,-72,-5,-99,-64,-82,-118,-73,-70,-34,-118,-103,-25,-82,-10,-59,-16,-35,-78,-15,-53,-71,-82,-106,-91,-10,-30,-93,-83,-47,-72,-19,-70,-111,-53,-91,-56,-123,-111,-91,-113,-100,-56,-91,-71,-1,-124,-49,-66,-12,-99,-96,-96,-97,-119,-121,-121
7,36,65,50,48,42,52,52,42,92,95,45,35,52,22,90,95,106,66,36,40,92,76,54,38,39,45,41,45,32,90,56,108,82,19,61,34,50,34,66,20,24,41,53,3,70,83,18,85,25,15,54,82,55,7,42,58,48
49,68,71,121,81,84,110,45,62,62,131,86,70,46,33,109,112,91,130,90,107,72,67,69,87,48,111,65,73,63,60,84,153,49,59,91,62,66,55,57,82,56,90,97,62,77,82,69,188,71,73,71,64,65,68,65,56,58
23,23,7,12,18,10,14,11,25,22,17,10,8,21,15,19,15,15,17,23,13,20,12,20,18,11,19,15,19,18,22,15,15,15,35,17,12,23,15,24,14,9,22,12,23,10,19,15,19,19,14,11,13,16,22,19,14,15
7,9,1,2,2,2,2,3,7,6,3,3,1,6,7,5,6,5,4,5,4,6,6,4,2,1,1,11,9,11,5,5,3,5,9,4,4,5,4,8,1,1,8,3,4,1,5,3,9,4,5,1,4,1,9,2,3,4
489,492,490,495,502,503,503,477,488,497,501,474,502,469,480,491,495,501,505,492,505,477,493,508,507,471,493,500,479,472,494,492,490,479,460,486,477,496,471,497,494,489,492,505,488,473,513,503,515,462,499,484,494,489,473,483,496,503
19,19,7,9,15,9,12,10,20,17,15,8,6,15,13,15,11,12,14,19,10,15,10,15,14,8,15,12,14,14,17,11,12,12,25,12,9,19,11,17,13,7,16,9,19,7,15,11,12,15,10,9,11,13,16,16,11,13
21,20,12,12,16,11,16,12,21,13,16,9,9,15,14,17,11,15,16,21,11,13,12,15,18,10,17,12,16,14,19,11,14,14,23,13,12,20,9,17,17,9,14,10,23,8,17,12,15,16,12,11,14,11,15,17,13,15
23,24,20,17,19,14,21,15,20,13,20,13,12,18,17,20,15,19,22,25,13,13,15,15,22,18,21,18,19,16,22,10,17,18,23,15,18,19,7,16,23,13,18,14,34,9,19,14,22,18,17,13,20,9,15,25,17,19
26,33,29,25,24,20,29,20,26,22,21,22,15,29,22,26,25,22,26,30,14,20,17,15,29,33,27,29,30,21,29,13,22,29,30,21,28,20,9,19,34,25,29,19,45,16,23,18,29,30,24,26,29,9,23,37,25,26
-25,-31,6,18,-14,19,-5,-4,-11,-4,-30,2,-1,-8,-15,-28,-18,-17,-8,-23,-7,14,-2,1,-27,11,-13,-8,5,6,-8,2,-20,-3,-11,9,-21,-4,56,4,1,-4,-9,9,-6,-6,-4,-8,-18,3,-16,-8,-11,35,-18,-20,-4,-27
-3,-11,13,9,14,22,36,15,-52,-1,-30,9,15,-11,9,-20,-1,-19,-69,-2,4,15,63,65,-13,32,-4,23,35,19,-18,33,-11,30,-4,-8,10,0,104,63,45,21,5,7,12,6,-4,12,42,11,8,2,-13,69,-8,-1,4,12
13,-2,21,15,-19,14,39,0,38,5,28,10,29,-31,-2,-9,30,31,-16,0,-1,16,74,96,18,36,-28,59,16,35,-17,15,7,2,-1,-37,8,14,29,36,7,11,30,19,47,-22,17,5,57,27,10,34,16,36,11,23,28,16
20,10,-4,3,4,-1,12,0,13,-1,13,8,14,18,17,14,13,13,25,13,19,14,13,-4,8,-3,13,27,19,40,5,12,7,3,0,18,20,10,8,7,4,7,8,20,-9,2,20,11,34,-6,16,-2,11,6,25,2,-1,7
57,53,28,57,54,52,53,61,49,47,52,52,55,54,57,53,39,54,52,48,53,46,54,41,49,45,50,48,50,62,49,47,49,48,51,58,59,56,59,33,50,52,44,53,24,45,51,49,53,32,52,51,48,51,42,33,53,41
326,291,-59,339,289,266,277,319,192,197,257,90,288,80,196,282,72,258,264,192,252,90,258,166,142,22,204,182,176,239,184,164,111,112,-43,279,275,409,123,116,179,196,23,203,19,88,302,225,386,-232,339,50,169,148,-6,-23,225,167
47,49,30,52,49,51,51,48,44,44,49,42,49,40,44,49,41,46,49,46,51,39,49,39,48,37,48,47,42,45,47,45,44,41,34,49,47,52,45,38,46,46,40,50,18,39,48,49,52,21,52,37,45,45,32,34,48,40
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,55,25,22,92,2,6,65,-1,60,4,78,28,87,58,63,59,21,27,54,14,81,76,3,9,17,7,114,33,30,75,-10,192,72,10,21,-31,162,64,55,36,30,115,149,16,60
